id,title,description,brand,category,subcategory,image_url
95612,Ultimate Power Drill 2000 *LIMITED EDITION* !!!,"This drill is THE BEST!! Ideal for professionals, hobbyists, DIY enthusiasts...Drill through ANYTHING with ease!!",GripGuard,Hardware Tools,Headphones,
80802,Compact All-In-One Workstation (SPECIAL OFFER!!!!),"The all-in-one workstation that's compact, sleek, and equipped with the latest tech, suitable for home or office.",GripGuard,Outdoor Gear,Filaments,
73657,Heavy Duty Construction Gloves XXL,"Durable gloves for all types of heavy-duty construction work, providing excellent grip and protection.",ScrewMaster,Electronics,Workbenches,
51782,SuperFast Wireless Router - 5GHz  **NEW**,Blazing fast internet speeds! Up to 10x faster than traditional routers! Ideal for homes & small businesses.,QuietTech,Office Supplies,Saws,
12976,*DELUXE* Ergonomic Office Chair w/ lumbar support,"Stay comfortable ALL day!! Premium cushioning, adjustable height, tilt, and lumbar support for maximum comfort!",EcoBright,Home Improvement,Drills,
8523,10-Pack Eco-Friendly LED Lightbulbs,"Save money and energy with these long-lasting, eco-friendly LED lightbulbs. Comes in a convenient 10-pack!",ScrewMaster,Furniture,Cooling Fans,
29289,Multi-Tool Pocket Knife (9-in-1),"The ultimate pocket knife! Includes knife, bottle opener, screwdriver & more... perfect for outdoor adventures.",ScrewMaster,Hardware Tools,Screwdrivers,
14046,"Mega Cooling Fan, Quiet Design, Power Efficient **SUMMER SALE**","Stay cool this summer with our ultra-quiet cooling fan! Efficient, sleek design to fit any room!",SmartHome,Home Improvement,Filaments,
72288,Wireless Bluetooth Speaker - Portable Sound Box,Wireless portable speaker with up to 12 hours of battery life and superior sound quality for all your music needs.,NetSpeed,Office Supplies,Office Mats,
61225,Luxury Leather Office Desk Mat XXL - LIMITED STOCK,"Enhance your workspace with this luxury leather mat, designed for professionals who appreciate quality and style.",QuietTech,3D Printing Supplies,Cables,
15212,7-Inch Touch Screen Digital Photo Frame,Display your favorite photos in high resolution with this 7-inch touch screen digital photo frame!,FlexiShelves,Networking Devices,Smart Plugs,
72034,Industrial Grade Power Saw *Best in Class*,"Cutting edge industrial power saw for heavy-duty projects. Accurate, powerful, and easy to use!",PhotoFrame,Home Improvement,Shelves,
83134,Smart Wi-Fi Plug **Works with Alexa/Google**,"Control your home appliances remotely with this smart Wi-Fi plug. Set timers, monitor energy usage & more!",PhotoFrame,Outdoor Gear,Screwdrivers,
89508,Ultra-Premium HDMI Cables - 6ft,"High-quality HDMI cables for crystal clear video and audio. Perfect for gaming, home theaters, and office setups.",PhotoFrame,Home Improvement,Chairs,
52863,Waterproof Outdoor LED String Lights - 25ft,"These waterproof string lights are perfect for outdoor events, patios, and garden parties. Adds a magical touch!",SoundBox,Office Supplies,Pocket Tools,
24093,Rechargeable Cordless Electric Screwdriver,Compact and powerful electric screwdriver for easy handling of everyday tasks. Rechargeable and portable!,QuietTech,Home Improvement,Speakers,
97264,Customizable Wooden Storage Shelves,Wooden storage shelves that can be customized to fit your space. Perfect for home or office organization!,OutdoorGlow,Outdoor Gear,Routers,
53736,Professional Noise-Canceling Headphones,Block out distractions with these high-quality noise-canceling headphones. Ideal for work or travel.,MultiTools,Outdoor Gear,Filaments,
36806,3D Printer Filament 1.75mm PLA **50 COLORS AVAILABLE**,High-quality PLA filament for 3D printing. Compatible with most 3D printers. Choose from a variety of colors!,FlexiShelves,Home Appliances,Workbenches,
73454,Adjustable Height Folding Workbench (NEW IN STOCK!!!),Sturdy and portable folding workbench with adjustable height settings. Perfect for workshops or garages!,GripGuard,Outdoor Gear,Headphones,
