ID,properties,title,description
56316,"{'category': 'Hardware Tools', 'brand': 'PowerMax'}",ProGrade Hammer - Heavy Duty for Contractors,"Designed for contractors, this hammer offers pro-level durability and precision for heavy-duty jobs."
31495,"{'category': 'Office Supplies', 'brand': 'OfficeTech'}",Wireless Ergonomic Mouse for Office Use,"An ergonomic wireless mouse perfect for daily office tasks. Lightweight, easy to use, and comfortable for long hours."
80952,"{'category': 'Safety Gear', 'brand': 'GripGuard'}",UltraDurable Construction Helmet - Safety First!,"Keep safety first with this ultradurable construction helmet, built for maximum protection on job sites."
95321,"{'category': 'Networking Devices', 'brand': 'NetSpeed'}",TurboMax Electric Screwdriver with Rechargeable Battery,The TurboMax screwdriver is rechargeable and ideal for fast and efficient work in any environment.
84911,"{'category': 'Furniture', 'brand': 'ComfortPro'}",Adjustable Office Chair with Extra Padding,Office chair designed with adjustable settings and extra padding for all-day comfort.
57810,"{'category': 'Home Improvement', 'brand': 'EcoBright'}",Energy Saver LED Bulbs 12-Pack for Long Lasting Lighting,Energy-efficient 12-pack LED bulbs that provide long-lasting lighting for home and office.
89457,"{'category': 'Outdoor Gear', 'brand': 'MultiTools'}",Professional Carpenter Measuring Tape 50ft,High-quality carpenter's measuring tape with 50ft length for professional-grade accuracy.
70756,"{'category': 'Home Appliances', 'brand': 'CoolBreeze'}",Portable Bluetooth Speaker with Bass Boost,"Portable Bluetooth speaker with enhanced bass for superior sound, perfect for outdoor events."
47963,"{'category': 'Electronics', 'brand': 'SoundBox'}",Stainless Steel Water Bottle - 32oz,"Durable, stainless steel water bottle designed to keep beverages cold for hours, ideal for travel."
15439,"{'category': '3D Printing Supplies', 'brand': 'LuxMat'}",Heavy Duty Garden Hose with Nozzle,"Heavy-duty garden hose with adjustable nozzle, perfect for outdoor watering tasks."
25349,"{'category': 'Hardware Tools', 'brand': 'PhotoFrame'}",High-Performance Gaming Laptop with 4K Display,Powerful gaming laptop featuring a 4K display and high-performance graphics for an unbeatable experience.
23346,"{'category': 'Office Supplies', 'brand': 'IndustrialEdge'}",Smartwatch with Fitness Tracking and Notifications,Track your fitness goals with this smartwatch that also provides notifications for calls and messages.
82832,"{'category': 'Safety Gear', 'brand': 'SmartHome'}",Digital Voice Recorder with Noise Cancellation,"Capture clear audio with this digital voice recorder, equipped with advanced noise cancellation technology."
22091,"{'category': 'Networking Devices', 'brand': 'HDVision'}",Portable Power Bank 20000mAh,"Portable 20000mAh power bank for charging devices on the go, with fast charging capability."
94560,"{'category': 'Furniture', 'brand': 'OutdoorGlow'}",Smart Thermostat for Energy Saving,"Smart thermostat that optimizes energy usage, helping you save on heating and cooling costs."
67167,"{'category': 'Home Improvement', 'brand': 'ScrewMaster'}",Ergonomic Desk with Height Adjustment,Height-adjustable desk designed to improve posture and comfort during long work hours.
21202,"{'category': 'Outdoor Gear', 'brand': 'FlexiShelves'}",Noise Cancelling Bluetooth Headphones,"Premium noise-cancelling headphones for an immersive sound experience, perfect for travel or work."
93320,"{'category': 'Home Appliances', 'brand': 'QuietTech'}",HD Webcam with Microphone for Video Calls,High-definition webcam with built-in microphone for clear video calls and conferencing.
34575,"{'category': 'Electronics', 'brand': 'PrintPro'}",Instant Camera with Selfie Mode and Filters,Instant camera with built-in selfie mode and fun filters for capturing moments on the go.
30477,"{'category': '3D Printing Supplies', 'brand': 'WorkBenchCo'}",Electric Kettle with Temperature Control,Electric kettle with temperature control for precision brewing of tea and coffee.
